Year,Brand,Funny,Shows Product Quickly,Patriotic,Celebrity,Danger,Animals,Uses Sex,Length,Estimated Cost,Youtube Views,Youtube Likes,TV Viewers,Cost per Sec,Youtube Views per M.dollar,TV Viewers per M.dollar
2000,E-Trade,True,True,False,False,False,True,False,30,2.1,13615.0,84.0,88.47,0.07,6483.33,42.13
2000,E-Trade,True,True,False,False,True,False,False,30,2.1,72772.0,146.0,88.47,0.07,34653.33,42.13
2000,Budweiser,True,True,False,False,False,False,False,30,2.1,5399.0,11.0,88.47,0.07,2570.95,42.13
2000,Bud Light,True,True,False,False,True,False,False,30,2.1,6699.0,8.0,88.47,0.07,3190.0,42.13
2000,Budweiser,True,False,False,False,False,True,False,30,2.1,18972.0,6.0,88.47,0.07,9034.29,42.13
2000,Bud Light,True,False,False,False,True,True,True,30,2.1,146.0,3.0,88.47,0.07,69.52,42.13
2000,Budweiser,True,True,False,False,False,False,False,60,4.2,4047977.0,31000.0,88.47,0.07,963804.05,21.06
2000,Budweiser,True,False,False,False,True,True,False,60,4.2,112246.0,163.0,88.47,0.07,26725.24,21.06
2001,Bud Light,True,True,False,False,False,True,False,30,2.1,3613.0,10.0,84.34,0.07,1720.48,40.16
2001,Budweiser,True,True,False,False,False,False,False,30,2.1,58606.0,212.0,84.34,0.07,27907.62,40.16
2001,Bud Light,True,False,False,False,True,False,True,30,2.1,73526.0,353.0,84.34,0.07,35012.38,40.16
2001,Pepsi,True,False,False,False,False,False,True,30,2.1,1202.0,5.0,84.34,0.07,572.38,40.16
2001,E-Trade,False,False,False,False,True,True,False,30,2.1,105126.0,191.0,84.34,0.07,50060.0,40.16
2001,Pepsi,True,True,False,False,False,False,True,30,2.1,65284.0,110.0,84.34,0.07,31087.62,40.16
2001,Bud Light,True,False,False,True,False,False,True,30,2.1,1047.0,3.0,84.34,0.07,498.57,40.16
2001,Doritos,True,True,False,True,False,False,True,30,2.1,4183.0,15.0,84.34,0.07,1991.9,40.16
2001,NFL,False,False,False,True,False,False,False,60,4.2,1569672.0970464135,5086.592712844155,84.34,0.07,373731.45,20.08
2001,Pepsi,True,False,True,True,False,True,True,45,3.15,12595.0,13.0,84.34,0.07,3998.41,26.77
2001,Pepsi,True,False,False,True,True,False,False,60,4.2,1632.0,15.0,84.34,0.07,388.57,20.08
2001,E-Trade,True,False,False,False,True,False,False,30,2.1,6602.0,12.0,84.34,0.07,3143.81,40.16
2001,Budweiser,False,False,False,True,False,False,False,30,2.1,78098.0,350.0,84.34,0.07,37189.52,40.16
2002,Budweiser,False,True,True,False,False,True,False,60,4.2,147441.0,845.0,86.8,0.07,35105.0,20.67
2002,Budweiser,True,True,False,False,False,False,False,30,2.1,49992.0,329.0,86.8,0.07,23805.71,41.33
2002,Budweiser,True,False,False,False,False,False,False,30,2.1,14401.0,54.0,86.8,0.07,6857.62,41.33
2002,Bud Light,True,True,False,False,True,True,True,30,2.1,3991.0,17.0,86.8,0.07,1900.48,41.33
2002,Bud Light,True,False,False,False,True,False,False,30,2.1,64696.0,189.0,86.8,0.07,30807.62,41.33
2002,Bud Light,True,False,False,False,True,False,True,30,2.1,84183.0,342.0,86.8,0.07,40087.14,41.33
2002,Budweiser,True,True,False,False,False,False,True,30,2.1,1569672.0970464135,5086.592712844155,86.8,0.07,747462.9,41.33
2002,E-Trade,True,True,False,False,False,True,True,30,2.1,1753.0,9.0,86.8,0.07,834.76,41.33
2002,Pepsi,False,True,False,True,False,False,True,90,6.3,481645.0,7400.0,86.8,0.07,76451.59,13.78
2002,Bud Light,True,True,False,True,True,False,True,30,2.1,5312.0,24.0,86.8,0.07,2529.52,41.33
2003,Bud Light,True,True,False,False,True,True,True,30,2.1,13838.0,20.0,88.64,0.07,6589.52,42.21
2003,Bud Light,True,True,False,False,True,False,False,30,2.1,8062.0,55.0,88.64,0.07,3839.05,42.21
2003,Bud Light,True,True,False,False,False,False,True,30,2.1,148322.0,57.0,88.64,0.07,70629.52,42.21
2003,Bud Light,True,True,False,False,False,False,True,30,2.1,1569672.0970464135,5086.592712844155,88.64,0.07,747462.9,42.21
2003,Budweiser,True,True,False,False,False,False,False,30,2.1,27782.0,18.0,88.64,0.07,13229.52,42.21
2003,Bud Light,True,True,False,False,False,False,False,30,2.1,179645.0,237.0,88.64,0.07,85545.24,42.21
2003,Bud Light,True,True,False,False,False,False,False,30,2.1,179999.0,300.0,88.64,0.07,85713.81,42.21
2003,Budweiser,True,True,False,False,False,True,False,30,2.1,2948.0,10.0,88.64,0.07,1403.81,42.21
2003,Bud Light,True,True,False,False,False,True,False,30,2.1,17456.0,70.0,88.64,0.07,8312.38,42.21
2003,Budweiser,True,False,False,False,False,False,True,30,2.1,21838.0,10.0,88.64,0.07,10399.05,42.21
2003,Pepsi,True,True,False,True,False,False,False,45,3.15,41312.0,5086.592712844155,88.64,0.07,13114.92,28.14
2003,NFL,False,False,False,True,False,False,False,60,4.2,18780.0,43.0,88.64,0.07,4471.43,21.1
2004,Bud Light,True,True,False,False,False,True,True,30,2.1,4068.0,127.0,89.8,0.07,1937.14,42.76
2004,Pepsi,True,False,False,False,False,True,False,45,3.15,181362.0,313.0,89.8,0.07,57575.24,28.51
2004,Budweiser,True,False,False,False,False,False,False,30,2.1,341959.0,912.0,89.8,0.07,162837.62,42.76
2004,Budweiser,False,True,True,False,False,True,False,60,4.2,1953836.0,3700.0,89.8,0.07,465199.05,21.38
2004,Toyota,True,True,False,False,True,False,False,30,2.1,125064.0,871.0,89.8,0.07,59554.29,42.76
2004,Bud Light,True,False,False,False,True,True,True,30,2.1,88612.0,118.0,89.8,0.07,42196.19,42.76
2004,Pepsi,True,True,False,False,False,False,False,30,2.1,62845.0,294.0,89.8,0.07,29926.19,42.76
2004,Bud Light,True,True,False,False,True,False,False,30,2.1,618.0,8.0,89.8,0.07,294.29,42.76
2004,Bud Light,True,True,False,False,True,True,False,30,2.1,7557.0,41.0,89.8,0.07,3598.57,42.76
2004,Bud Light,True,True,False,True,False,False,True,30,2.1,41044.0,43.0,89.8,0.07,19544.76,42.76
2004,Budweiser,True,False,False,True,False,True,True,30,2.1,102403.0,448.0,89.8,0.07,48763.33,42.76
2005,Bud Light,True,True,False,False,True,True,True,30,2.4,9065.0,30.0,86.07,0.08,3777.08,35.86
2005,Pepsi,True,True,False,False,False,False,False,45,3.6,219.0,1.0,86.07,0.08,60.83,23.91
2005,Bud Light,True,False,False,False,False,False,False,30,2.4,1569672.0970464135,5086.592712844155,86.07,0.08,654030.04,35.86
2005,Budweiser,True,False,False,False,False,True,False,30,2.4,1569672.0970464135,5086.592712844155,86.07,0.08,654030.04,35.86
